name,latitude,longitude,color
Boystown,37.7244,-122.421,#DF151A
Bridgeport,37.7107,-122.4372,#00DA3C
Bucktown,37.8021,-122.4369,#FD8603
Chinatown,37.793,-122.416,#00DA3C
Douglas,37.8045,-122.4076,#00DA3C
East Village,37.7924,-122.4352,#FD8603
Edgewater,37.7868,-122.4538,#DF151A
Gold Coast,37.8014,-122.4182,#DF151A
Grand Boulevard,37.7144,-122.4113,#00DA3C
Grant Park,37.7423,-122.4423,#00CBE7
Greektown,37.7378,-122.4316,#F4F328
Humboldt Park,37.7584,-122.4654,#FD8603
Hyde Park,37.7225,-122.4885,#00DA3C
Kenwood,37.7239,-122.4439,#00DA3C
Lakeview,37.7373,-122.4589,#DF151A
Lincoln Park,37.73,-122.3855,#DF151A
Lincoln Square,37.7399,-122.4169,#DF151A
Little Italy/UIC,37.7624,-122.4348,#F4F328
Little Village,37.7692,-122.4463,#F4F328
Logan Square,37.7589,-122.4153,#FD8603
Loop,37.7493,-122.433,#00CBE7
Lower West Side,37.7411,-122.4892,#F4F328
Millennium Park,37.7583,-122.393,#00CBE7
Museum Campus,37.7764,-122.3994,#00CBE7
Near South Side,37.752,-122.45,#00CBE7
North Center,37.7804,-122.4332,#DF151A
Old Town,37.7802,-122.4652,#DF151A
Printers Row,37.778,-122.4928,#00CBE7
River North,37.7553,-122.4938,#00CBE7
Rush & Division,37.7841,-122.5009,#00CBE7
Sheffield/DePaul,37.7689,-122.4828,#DF151A
Streeterville,37.7941,-122.407,#00CBE7
Ukranian Village,37.7835,-122.4158,#F4F328
United Center,37.7915,-122.3988,#F4F328
Uptown,37.7178,-122.4622,#DF151A
Washington Park,37.7178,-122.4622,#00DA3C
West Loop,37.7178,-122.4622,#00CBE7
West Town,37.7178,-122.4622,#F4F328
Wicker Park,37.7178,-122.4622,#FD8603
Wrigleyville,37.7178,-122.4622,#DF151A
